@relation BikeSharingGruppeF

@attribute 0day numeric
@attribute 1month numeric
@attribute 2year numeric
@attribute 3season numeric
@attribute 4holiday numeric
@attribute 5weekday numeric
@attribute 6workingDay numeric
@attribute 7weatherSit numeric
@attribute 8temp numeric
@attribute 9atemp numeric
@attribute 10hum numeric
@attribute 11windSpeed numeric
@attribute 12casual numeric

@data
31,1,2011,1,0,1,1,2,7.41,9.31,60.38,12.54,42
1,2,2011,1,0,2,1,2,7.88,11.73,82.96,3.57,47
2,2,2011,1,0,3,1,2,10.66,12.72,77.54,17.71,72
3,2,2011,1,0,4,1,1,7.67,8.89,43.78,18.61,61
4,2,2011,1,0,5,1,2,8.66,11.43,58.52,8.57,88
5,2,2011,1,0,6,0,2,9.57,12.15,92.92,10.79,100
6,2,2011,1,0,0,0,1,11.72,14.58,56.83,9.5,354
7,2,2011,1,0,1,1,1,11.14,15.18,73.83,3.04,120
8,2,2011,1,0,2,1,1,9.05,9.91,53.79,24.25,64
9,2,2011,1,0,3,1,2,5.53,7.21,49.48,12.65,53
10,2,2011,1,0,4,1,1,5.92,7.48,43.74,14.87,47
11,2,2011,1,0,5,1,1,7.75,10.68,50.64,7.27,149
12,2,2011,1,0,6,0,1,9.12,11.65,54.42,13.63,288
13,2,2011,1,0,0,0,1,12.98,16.21,45.74,17.48,397
14,2,2011,1,0,1,1,1,17.02,19.92,37.58,28.0,208
15,2,2011,1,0,2,1,1,10.91,12.71,31.43,19.52,140
16,2,2011,1,0,3,1,1,13.05,15.81,42.35,16.87,218
17,2,2011,1,0,4,1,1,17.87,21.43,50.5,15.42,259
18,2,2011,1,0,5,1,1,21.39,25.6,51.67,17.75,579
19,2,2011,1,0,6,0,1,16.37,19.57,18.79,34.0,532
20,2,2011,1,0,0,0,1,11.69,13.87,40.78,14.96,639
21,2,2011,1,1,1,0,2,12.44,14.2,60.5,20.63,195
22,2,2011,1,0,2,1,1,7.47,9.3,57.78,13.11,74
23,2,2011,1,0,3,1,1,9.09,12.29,42.3,6.31,139
24,2,2011,1,0,4,1,2,12.12,14.46,69.74,16.78,100
25,2,2011,1,0,5,1,2,14.94,17.52,71.22,23.22,120
26,2,2011,1,0,6,0,1,11.58,14.11,53.79,12.5,424
27,2,2011,1,0,0,0,1,14.08,17.56,68.0,8.39,694
28,2,2011,1,0,1,1,2,16.7,20.01,87.64,19.41,81
1,3,2011,1,0,2,1,1,10.93,13.19,53.5,14.5,137
2,3,2011,1,0,3,1,1,13.74,16.0,44.96,20.62,231
3,3,2011,1,0,4,1,1,8.13,10.01,31.83,15.13,123
4,3,2011,1,0,5,1,2,10.73,12.78,61.04,13.62,214
5,3,2011,1,0,6,0,2,15.75,18.94,78.92,16.88,640
6,3,2011,1,0,0,0,2,15.44,18.31,94.83,23.0,114
7,3,2011,1,0,1,1,1,10.73,11.92,55.13,22.87,244
8,3,2011,1,0,2,1,1,11.99,15.12,42.08,8.08,316
9,3,2011,1,0,3,1,2,12.13,14.33,77.54,14.75,191
10,3,2011,1,0,4,1,3,15.95,19.28,0.0,17.55,46
11,3,2011,1,0,5,1,2,12.98,15.25,64.96,15.61,247
12,3,2011,1,0,6,0,1,13.5,16.29,59.46,14.79,724
13,3,2011,1,0,0,0,1,15.76,19.0,52.74,18.13,982
14,3,2011,1,0,1,1,1,13.33,16.6,49.7,9.17,359
15,3,2011,1,0,2,1,2,13.01,15.91,65.57,12.35,289
16,3,2011,1,0,3,1,2,14.97,18.35,77.65,13.61,321
17,3,2011,1,0,4,1,1,17.02,20.52,60.29,14.04,424
18,3,2011,1,0,5,1,1,22.14,26.35,52.52,15.48,884
19,3,2011,1,0,6,0,1,19.37,23.33,37.92,24.67,1424
20,3,2011,1,0,0,0,1,13.63,16.29,47.38,13.92,1047
21,3,2011,2,0,1,1,2,17.65,20.49,73.74,19.35,401
22,3,2011,2,0,2,1,1,18.11,22.03,62.46,15.13,460
23,3,2011,2,0,3,1,2,14.23,16.9,83.96,15.7,203
24,3,2011,2,0,4,1,2,11.68,13.54,80.58,16.33,166
25,3,2011,2,0,5,1,1,10.83,12.82,49.5,15.46,300
26,3,2011,2,0,6,0,1,10.9,12.88,39.42,14.04,981
27,3,2011,2,0,0,0,2,10.37,12.52,49.39,12.35,472
28,3,2011,2,0,1,1,1,10.84,12.88,30.22,14.22,222
29,3,2011,2,0,2,1,1,12.4,14.65,31.42,15.21,317
30,3,2011,2,0,3,1,2,12.3,14.87,64.67,11.58,168
31,3,2011,2,0,4,1,3,11.0,12.88,91.83,14.58,179
1,4,2011,2,0,5,1,2,12.3,14.17,68.63,17.33,307
2,4,2011,2,0,6,0,2,12.92,15.78,65.38,13.21,898
3,4,2011,2,0,0,0,1,15.51,18.94,48.0,12.21,1651
4,4,2011,2,0,1,1,1,23.51,27.15,42.63,25.83,734
5,4,2011,2,0,2,1,2,16.98,19.92,64.21,26.0,167
6,4,2011,2,0,3,1,1,16.02,19.38,47.08,17.63,413
7,4,2011,2,0,4,1,1,17.94,21.68,60.29,10.87,571
8,4,2011,2,0,5,1,2,13.77,16.22,83.63,15.21,172
9,4,2011,2,0,6,0,2,14.04,17.08,87.75,8.92,879
10,4,2011,2,0,0,0,2,17.49,21.34,85.75,9.83,1188
11,4,2011,2,0,1,1,2,24.42,28.26,71.7,21.74,855
12,4,2011,2,0,2,1,2,20.6,24.65,73.92,18.42,257
13,4,2011,2,0,3,1,2,16.91,20.86,81.92,16.79,209
14,4,2011,2,0,4,1,1,19.17,23.14,54.04,7.42,529
15,4,2011,2,1,5,0,1,18.31,22.1,67.13,15.17,642
16,4,2011,2,0,6,0,3,17.66,21.27,88.83,22.83,121
17,4,2011,2,0,0,0,1,18.72,22.28,47.96,20.33,1558
18,4,2011,2,0,1,1,1,21.01,25.16,54.25,10.96,669
19,4,2011,2,0,2,1,2,20.74,24.46,66.58,10.58,409
20,4,2011,2,0,3,1,1,24.4,28.22,61.42,16.21,613
21,4,2011,2,0,4,1,1,18.83,22.69,40.71,21.79,745
22,4,2011,2,0,5,1,2,13.8,16.1,72.96,14.71,177
23,4,2011,2,0,6,0,2,18.86,22.51,88.79,15.46,1462
24,4,2011,2,0,0,0,2,23.85,27.59,81.08,12.88,1710
25,4,2011,2,0,1,1,1,24.87,28.73,77.67,12.42,773
26,4,2011,2,0,2,1,1,25.9,29.7,72.92,21.88,678
27,4,2011,2,0,3,1,2,25.42,28.76,83.54,20.92,547
28,4,2011,2,0,4,1,2,25.32,28.95,70.08,21.5,569
29,4,2011,2,0,5,1,1,20.91,24.87,45.71,16.08,878
30,4,2011,2,0,6,0,1,19.37,23.2,50.33,15.75,1965
1,5,2011,2,0,0,0,2,18.52,22.41,76.21,7.13,1138
2,5,2011,2,0,1,1,2,22.52,26.64,73.0,12.29,847
3,5,2011,2,0,2,1,2,25.28,29.1,69.71,22.96,603
4,5,2011,2,0,3,1,2,16.98,20.23,73.71,22.04,255
5,5,2011,2,0,4,1,1,18.83,22.1,44.42,19.79,614
6,5,2011,2,0,5,1,1,19.65,23.71,59.0,15.29,894
7,5,2011,2,0,6,0,1,21.32,25.63,54.13,10.75,1612
8,5,2011,2,0,0,0,1,21.66,25.95,63.17,5.0,1401
9,5,2011,2,0,1,1,1,21.83,26.26,58.88,11.79,664
10,5,2011,2,0,2,1,1,21.83,26.14,48.92,7.75,694
11,5,2011,2,0,3,1,1,22.24,26.42,63.29,8.08,550
12,5,2011,2,0,4,1,1,21.94,26.17,74.75,12.71,695
13,5,2011,2,0,5,1,2,21.01,24.72,86.33,12.04,692
14,5,2011,2,0,6,0,2,21.35,25.03,92.25,9.04,902
15,5,2011,2,0,0,0,2,23.06,26.8,86.71,10.25,1582
16,5,2011,2,0,1,1,1,23.68,27.53,78.79,8.5,773
17,5,2011,2,0,2,1,2,23.03,26.93,83.79,18.58,678
18,5,2011,2,0,3,1,2,22.55,26.36,87.0,13.5,536
19,5,2011,2,0,4,1,2,21.76,25.54,82.96,7.25,735
20,5,2011,2,0,5,1,1,22.0,26.45,71.96,8.38,909
21,5,2011,2,0,6,0,1,24.7,28.6,62.67,8.08,2258
22,5,2011,2,0,0,0,1,24.77,28.73,74.96,9.92,1576
23,5,2011,2,0,1,1,2,25.9,29.51,81.0,15.67,836
24,5,2011,2,0,2,1,2,27.06,30.24,74.08,13.88,659
25,5,2011,2,0,3,1,1,27.09,30.78,69.63,10.33,740
26,5,2011,2,0,4,1,1,29.04,32.73,67.75,13.38,758
27,5,2011,2,0,5,1,1,27.95,31.85,65.38,16.13,871
28,5,2011,2,0,6,0,1,26.89,30.62,72.96,15.42,2001
29,5,2011,2,0,0,0,1,27.37,30.78,81.88,14.33,2355
30,5,2011,2,1,1,0,1,30.07,33.55,68.5,8.79,1549
31,5,2011,2,0,2,1,1,31.78,36.27,63.67,7.46,673
1,6,2011,2,0,3,1,2,31.33,36.05,67.71,13.88,513
2,6,2011,2,0,4,1,1,29.32,32.2,30.5,19.58,736
3,6,2011,2,0,5,1,1,25.42,29.36,35.42,16.96,898
4,6,2011,2,0,6,0,1,26.04,29.73,45.63,8.25,1869
5,6,2011,2,0,0,0,2,26.58,30.84,65.25,9.29,1685
6,6,2011,2,0,1,1,1,27.81,31.09,60.0,8.17,673
7,6,2011,2,0,2,1,1,29.01,32.8,59.79,12.58,763
8,6,2011,2,0,3,1,1,31.81,36.36,62.21,9.17,676
9,6,2011,2,0,4,1,2,33.14,37.88,56.83,10.04,563
10,6,2011,2,0,5,1,1,30.96,35.16,60.5,9.42,815
11,6,2011,2,0,6,0,1,29.73,33.9,65.46,10.37,1729
12,6,2011,2,0,0,0,1,28.39,32.17,74.79,10.96,1467
13,6,2011,2,0,1,1,1,26.04,30.08,49.46,20.46,863
14,6,2011,2,0,2,1,1,24.77,29.58,50.71,18.04,727
15,6,2011,2,0,3,1,1,25.69,29.39,47.17,11.25,769
16,6,2011,2,0,4,1,2,25.76,29.77,68.83,13.83,545
17,6,2011,2,0,5,1,1,26.62,30.02,73.58,9.58,863
18,6,2011,2,0,6,0,1,28.56,32.2,67.04,8.0,1807
19,6,2011,2,0,0,0,2,28.67,32.29,66.67,6.83,1639
20,6,2011,2,0,1,1,2,26.04,29.77,74.63,10.42,699
21,6,2011,3,0,2,1,2,27.91,31.88,77.04,11.46,774
22,6,2011,3,0,3,1,1,30.07,34.69,70.75,11.54,661
23,6,2011,3,0,4,1,2,29.86,34.69,70.33,16.0,746
24,6,2011,3,0,5,1,1,29.69,32.83,57.33,14.88,969
25,6,2011,3,0,6,0,1,28.49,32.17,48.33,14.04,1782
26,6,2011,3,0,0,0,1,27.88,31.88,51.33,6.33,1920
27,6,2011,3,0,1,1,2,27.98,31.85,65.83,7.21,854
28,6,2011,3,0,2,1,1,30.51,34.63,63.42,9.67,732
29,6,2011,3,0,3,1,1,29.86,32.73,49.79,17.54,848
30,6,2011,3,0,4,1,1,28.56,31.85,43.42,12.42,1027
1,7,2011,3,0,5,1,1,29.62,32.61,39.63,6.87,1246
2,7,2011,3,0,6,0,1,30.27,33.37,44.46,7.71,2204
3,7,2011,3,0,0,0,2,29.38,33.43,68.25,15.33,2282
4,7,2011,3,1,1,0,2,29.79,33.27,63.79,5.46,3065
5,7,2011,3,0,2,1,1,30.61,34.82,59.04,8.46,1031
6,7,2011,3,0,3,1,1,29.52,34.28,74.33,10.04,784
7,7,2011,3,0,4,1,1,30.75,34.34,65.13,10.67,754
8,7,2011,3,0,5,1,2,29.08,33.52,75.79,15.08,692
9,7,2011,3,0,6,0,1,30.07,33.21,60.92,11.25,1988
10,7,2011,3,0,0,0,1,30.65,34.5,57.83,12.29,1743
11,7,2011,3,0,1,1,1,31.26,36.49,63.58,18.92,723
12,7,2011,3,0,2,1,1,32.56,36.96,55.92,13.42,662
13,7,2011,3,0,3,1,1,30.61,34.47,63.17,9.79,748
14,7,2011,3,0,4,1,1,27.91,31.76,47.63,16.12,888
15,7,2011,3,0,5,1,1,27.2,31.22,59.13,12.25,1318
16,7,2011,3,0,6,0,1,28.15,31.91,58.5,13.96,2418
17,7,2011,3,0,0,0,1,29.49,33.49,60.42,16.42,2006
18,7,2011,3,0,1,1,1,30.61,35.2,65.13,14.46,841
19,7,2011,3,0,2,1,1,31.84,37.37,65.04,8.75,752
20,7,2011,3,0,3,1,1,31.5,37.34,70.71,7.63,644
21,7,2011,3,0,4,1,2,33.42,41.32,69.13,14.88,632
22,7,2011,3,0,5,1,1,34.78,42.04,58.04,8.92,562
23,7,2011,3,0,6,0,1,34.82,40.21,50.0,8.79,987
24,7,2011,3,0,0,0,1,34.03,39.74,55.08,11.33,1050
25,7,2011,3,0,1,1,1,30.48,36.05,75.71,6.08,568
26,7,2011,3,0,2,1,1,31.64,34.85,54.08,13.42,750
27,7,2011,3,0,3,1,1,31.78,34.53,40.29,12.29,755
28,7,2011,3,0,4,1,1,31.95,36.99,58.33,11.96,606
29,7,2011,3,0,5,1,1,34.37,39.3,54.25,11.67,670
30,7,2011,3,0,6,0,1,32.97,36.43,46.58,11.29,1559
31,7,2011,3,0,0,0,1,33.04,36.49,48.08,11.04,1524
1,8,2011,3,0,1,1,1,31.64,35.16,55.08,10.5,729
2,8,2011,3,0,2,1,1,32.12,35.35,49.13,13.79,801
3,8,2011,3,0,3,1,2,30.0,34.0,65.75,9.08,467
4,8,2011,3,0,4,1,2,29.11,33.24,75.75,13.21,799
5,8,2011,3,0,5,1,1,29.14,32.83,63.08,12.37,1023
6,8,2011,3,0,6,0,2,29.38,33.81,75.5,15.29,1521
7,8,2011,3,0,0,0,1,30.44,35.76,75.29,13.5,1298
8,8,2011,3,0,1,1,1,31.37,35.16,59.21,12.88,846
9,8,2011,3,0,2,1,1,31.78,36.21,57.04,10.13,907
10,8,2011,3,0,3,1,1,31.43,34.25,42.42,13.42,884
11,8,2011,3,0,4,1,1,29.42,32.58,42.38,11.04,812
12,8,2011,3,0,5,1,1,29.04,32.7,41.5,8.42,1051
13,8,2011,3,0,6,0,2,28.12,32.29,72.96,14.17,1504
14,8,2011,3,0,0,0,2,27.74,31.22,81.75,14.92,1338
15,8,2011,3,0,1,1,1,27.3,30.81,71.21,14.0,775
16,8,2011,3,0,2,1,1,28.73,32.29,57.83,15.83,721
17,8,2011,3,0,3,1,1,29.66,33.33,57.54,9.63,668
18,8,2011,3,0,4,1,1,29.18,33.11,65.46,15.62,639
19,8,2011,3,0,5,1,2,28.09,31.66,72.29,9.33,797
20,8,2011,3,0,6,0,1,28.6,32.45,67.42,7.0,1914
21,8,2011,3,0,0,0,1,29.14,33.78,77.0,16.67,1249
22,8,2011,3,0,1,1,1,28.36,31.91,47.0,18.54,833
23,8,2011,3,0,2,1,1,26.27,30.3,45.54,9.83,1281
24,8,2011,3,0,3,1,1,27.61,31.53,60.5,16.96,949
25,8,2011,3,0,4,1,2,28.05,32.29,77.17,14.13,435
26,8,2011,3,0,5,1,1,28.7,32.99,76.13,5.63,768
27,8,2011,3,0,6,0,2,27.88,31.78,85.0,25.17,226
28,8,2011,3,0,0,0,1,28.99,32.4,56.18,20.41,1415
29,8,2011,3,0,1,1,1,26.1,30.4,55.46,10.71,729
30,8,2011,3,0,2,1,1,26.21,29.74,54.83,8.38,775
31,8,2011,3,0,3,1,1,26.92,30.56,59.79,5.58,688
1,9,2011,3,0,4,1,1,26.86,30.75,63.92,9.5,783
2,9,2011,3,0,5,1,2,26.38,30.24,72.71,9.38,875
3,9,2011,3,0,6,0,1,27.44,31.66,71.67,12.42,1935
4,9,2011,3,0,0,0,1,29.08,33.27,74.21,13.83,2521
5,9,2011,3,1,1,0,2,27.61,31.28,79.04,14.25,1236
6,9,2011,3,0,2,1,3,22.14,25.76,88.7,23.04,204
7,9,2011,3,0,3,1,3,24.57,27.21,91.71,6.5,118
8,9,2011,3,0,4,1,3,25.99,27.77,93.96,12.91,153
9,9,2011,3,0,5,1,2,26.65,28.95,89.79,8.33,417
10,9,2011,3,0,6,0,1,27.06,30.4,75.38,10.29,1750
11,9,2011,3,0,0,0,1,26.79,30.46,71.38,7.71,1633
12,9,2011,3,0,1,1,1,26.42,30.11,69.22,5.96,690
13,9,2011,3,0,2,1,1,26.68,30.18,71.25,9.5,701
14,9,2011,3,0,3,1,1,27.61,31.35,69.71,11.21,647
15,9,2011,3,0,4,1,2,23.68,27.68,70.92,18.17,428
16,9,2011,3,0,5,1,2,19.24,23.07,59.04,11.0,742
17,9,2011,3,0,6,0,2,20.16,23.93,71.83,12.71,1434
18,9,2011,3,0,0,0,1,20.81,24.53,69.5,11.96,1353
19,9,2011,3,0,1,1,2,22.52,26.48,69.0,10.17,691
20,9,2011,3,0,2,1,2,23.03,26.61,88.13,9.04,438
21,9,2011,3,0,3,1,2,24.4,27.53,90.0,6.46,539
22,9,2011,3,0,4,1,2,25.76,27.75,90.21,8.58,555
23,9,2011,4,0,5,1,2,24.98,26.11,97.25,5.25,258
24,9,2011,4,0,6,0,2,24.87,28.22,86.25,5.25,1776
25,9,2011,4,0,0,0,2,26.0,28.63,84.5,3.38,1544
26,9,2011,4,0,1,1,2,26.62,29.45,84.83,7.42,684
27,9,2011,4,0,2,1,2,26.1,28.73,88.54,7.92,477
28,9,2011,4,0,3,1,2,26.04,28.76,84.88,9.96,480
29,9,2011,4,0,4,1,1,25.28,28.73,69.92,11.58,653
30,9,2011,4,0,5,1,1,23.13,27.24,64.75,13.83,830
1,10,2011,4,0,6,0,2,16.81,20.64,75.38,19.58,480
2,10,2011,4,0,0,0,2,14.62,17.27,79.17,14.87,616
3,10,2011,4,0,1,1,2,15.75,19.6,76.08,5.58,330
4,10,2011,4,0,2,1,1,19.85,23.64,71.0,13.79,486
5,10,2011,4,0,3,1,1,22.07,26.36,64.79,11.88,559
6,10,2011,4,0,4,1,1,20.26,24.02,62.08,9.04,639
7,10,2011,4,0,5,1,1,20.94,25.22,68.42,1.5,949
8,10,2011,4,0,6,0,1,21.39,25.66,70.13,3.04,2235
9,10,2011,4,0,0,0,1,22.17,26.2,72.75,4.25,2397
10,10,2011,4,1,1,0,1,23.4,27.15,73.38,2.83,1514
11,10,2011,4,0,2,1,2,23.23,27.3,80.88,9.58,667
12,10,2011,4,0,3,1,3,22.28,25.89,90.63,16.63,217
13,10,2011,4,0,4,1,2,24.16,27.59,89.67,9.5,290
14,10,2011,4,0,5,1,2,22.58,26.48,71.63,15.0,529
15,10,2011,4,0,6,0,1,20.77,24.94,48.33,17.29,1899
16,10,2011,4,0,0,0,1,20.98,25.16,48.67,18.88,1748
17,10,2011,4,0,1,1,1,21.9,25.54,57.96,11.75,713
18,10,2011,4,0,2,1,2,21.83,26.14,70.17,7.38,637
19,10,2011,4,0,3,1,3,22.21,25.69,89.52,16.3,254
20,10,2011,4,0,4,1,1,19.51,23.33,63.63,28.29,471
21,10,2011,4,0,5,1,1,17.53,21.18,57.42,14.83,676
22,10,2011,4,0,6,0,1,17.32,21.27,62.92,6.21,1499
23,10,2011,4,0,0,0,1,17.29,21.12,74.13,6.67,1619
24,10,2011,4,0,1,1,1,19.0,22.85,77.21,7.96,699
25,10,2011,4,0,2,1,1,19.34,23.17,62.29,11.17,695
26,10,2011,4,0,3,1,2,19.85,23.64,72.04,9.96,404
27,10,2011,4,0,4,1,2,19.27,22.85,81.29,13.25,240
28,10,2011,4,0,5,1,2,13.56,15.94,58.58,15.38,456
29,10,2011,4,0,6,0,3,10.42,11.4,88.25,23.54,57
30,10,2011,4,0,0,0,1,13.09,16.07,62.38,11.83,885
31,10,2011,4,0,1,1,1,13.94,17.8,70.33,7.13,362
1,11,2011,4,0,2,1,1,16.43,19.85,68.38,9.08,410
2,11,2011,4,0,3,1,1,15.48,19.51,71.88,5.5,370
3,11,2011,4,0,4,1,1,16.74,20.3,70.21,9.17,318
4,11,2011,4,0,5,1,2,16.54,20.17,62.25,18.21,470
5,11,2011,4,0,6,0,1,13.39,16.19,51.92,12.67,1156
6,11,2011,4,0,0,0,1,14.28,18.12,73.46,6.17,952
7,11,2011,4,0,1,1,1,16.2,20.04,75.88,3.83,373
8,11,2011,4,0,2,1,1,16.74,20.61,72.17,4.63,376
9,11,2011,4,0,3,1,1,16.4,20.45,75.83,4.17,305
10,11,2011,4,0,4,1,2,15.58,18.69,81.33,12.67,190
11,11,2011,4,1,5,0,1,13.29,15.34,44.63,21.08,440
12,11,2011,4,0,6,0,1,14.62,17.9,55.29,14.21,1275
13,11,2011,4,0,0,0,1,18.07,21.53,45.83,18.88,1004
14,11,2011,4,0,1,1,1,21.73,26.23,58.71,20.54,595
15,11,2011,4,0,2,1,2,21.73,25.38,68.88,13.38,449
16,11,2011,4,0,3,1,3,18.72,22.6,93.0,9.17,145
17,11,2011,4,0,4,1,2,14.01,16.16,57.58,20.46,139
18,11,2011,4,0,5,1,1,11.24,13.64,41.0,11.29,245
19,11,2011,4,0,6,0,1,13.5,16.22,50.21,15.04,943
20,11,2011,4,0,0,0,2,19.0,22.85,68.46,12.46,787
21,11,2011,4,0,1,1,3,18.35,22.25,91.0,9.25,220
22,11,2011,4,0,2,1,3,17.08,21.08,96.25,7.96,69
23,11,2011,4,0,3,1,2,18.07,21.53,75.79,22.5,112
24,11,2011,4,1,4,0,1,15.31,18.62,54.92,11.21,560
25,11,2011,4,0,5,1,1,15.38,19.03,64.38,6.63,1095
26,11,2011,4,0,6,0,1,15.41,19.25,68.17,4.58,1249
27,11,2011,4,0,0,0,1,18.83,22.79,69.83,14.0,810
28,11,2011,4,0,1,1,1,20.64,24.51,74.3,9.52,253
29,11,2011,4,0,2,1,2,18.79,22.57,83.08,17.29,96
30,11,2011,4,0,3,1,1,13.33,15.56,61.33,18.17,188
1,12,2011,4,0,4,1,1,12.81,15.28,52.46,14.75,182
2,12,2011,4,0,5,1,1,12.88,16.57,62.58,6.75,268
3,12,2011,4,0,6,0,1,12.27,15.53,61.29,6.42,706
4,12,2011,4,0,0,0,1,13.56,17.46,77.58,5.63,634
5,12,2011,4,0,1,1,2,15.82,19.7,82.71,4.17,233
6,12,2011,4,0,2,1,3,18.96,22.82,94.96,15.58,126
7,12,2011,4,0,3,1,3,16.81,20.01,97.04,17.83,50
8,12,2011,4,0,4,1,1,10.9,12.85,58.0,16.08,150
9,12,2011,4,0,5,1,1,11.92,15.88,69.58,5.54,261
10,12,2011,4,0,6,0,1,11.28,13.32,50.75,15.63,502
11,12,2011,4,0,0,0,1,9.05,12.66,49.0,4.46,377
12,12,2011,4,0,1,1,1,9.77,13.51,67.08,4.25,143
13,12,2011,4,0,2,1,1,11.58,15.06,59.0,9.42,155
14,12,2011,4,0,3,1,2,13.02,16.92,66.38,4.08,178
15,12,2011,4,0,4,1,2,17.32,20.61,63.42,17.96,181
16,12,2011,4,0,5,1,2,15.38,17.99,50.04,17.46,178
17,12,2011,4,0,6,0,2,10.59,12.47,56.08,16.29,275
18,12,2011,4,0,0,0,1,9.77,12.28,58.63,11.38,220
19,12,2011,4,0,1,1,1,11.34,14.05,63.75,11.58,260
20,12,2011,4,0,2,1,2,15.82,19.82,59.54,4.13,216
21,12,2011,1,0,3,1,2,17.56,21.4,85.83,14.83,107
22,12,2011,1,0,4,1,2,17.36,21.31,75.75,3.17,227
23,12,2011,1,0,5,1,1,15.31,18.88,68.63,18.37,163
24,12,2011,1,0,6,0,1,12.4,14.96,54.25,12.75,155
25,12,2011,1,0,0,0,1,11.27,14.0,68.13,10.39,303
26,12,2011,1,1,1,0,1,13.19,15.78,50.7,16.04,430
27,12,2011,1,0,2,1,2,13.33,16.38,76.25,12.63,103
28,12,2011,1,0,3,1,1,12.26,14.0,50.39,19.7,255
29,12,2011,1,0,4,1,1,10.18,13.19,57.42,8.0,254
30,12,2011,1,0,5,1,1,12.78,15.94,63.67,9.0,491
31,12,2011,1,0,6,0,1,16.81,20.71,61.58,14.75,665
1,1,2012,1,0,0,0,1,15.17,18.78,69.25,12.88,686
2,1,2012,1,1,1,0,1,11.19,12.62,38.13,22.09,244
3,1,2012,1,0,2,1,1,6.15,6.31,44.13,24.5,89
4,1,2012,1,0,3,1,2,4.41,5.97,41.46,12.37,95
5,1,2012,1,0,4,1,1,10.9,13.92,52.42,8.71,140
6,1,2012,1,0,5,1,1,13.7,17.01,54.21,11.25,307
7,1,2012,1,0,6,0,1,16.13,19.54,53.17,11.71,1070
8,1,2012,1,0,0,0,1,13.84,17.01,46.5,12.83,599
9,1,2012,1,0,1,1,2,9.19,12.37,70.17,6.63,106
10,1,2012,1,0,2,1,1,12.66,15.94,64.65,12.57,173
11,1,2012,1,0,3,1,2,11.24,14.14,84.75,8.79,92
12,1,2012,1,0,4,1,2,15.68,19.1,80.29,12.12,269
13,1,2012,1,0,5,1,1,11.24,12.47,50.75,25.33,174
14,1,2012,1,0,6,0,1,7.38,9.15,45.75,12.54,333
15,1,2012,1,0,0,0,1,6.83,8.08,41.92,16.83,284
16,1,2012,1,1,1,0,1,7.79,9.53,52.25,15.5,217
17,1,2012,1,0,2,1,2,15.29,18.21,71.61,23.39,127
18,1,2012,1,0,3,1,1,12.44,13.76,44.33,27.83,109
19,1,2012,1,0,4,1,1,7.79,9.5,49.75,14.75,130
20,1,2012,1,0,5,1,2,8.92,11.05,45.0,13.58,115
21,1,2012,1,0,6,0,2,7.11,8.74,83.13,14.92,67
22,1,2012,1,0,0,0,2,6.66,8.11,79.63,13.38,196
